CustomerCode,CountryCode,FMSerialnumber,Month,Year,Period
952334,AO,870151026,10,2017,201710
952334,AO,850251014,11,2017,201711
952334,AO,870151026,11,2017,201711
952334,AO,850251014,12,2017,201712
952334,AO,870151026,12,2017,201712
955044,CD,8693 51 081,03,2017,201703
955044,CD,8693 51 081,04,2017,201704
955044,CD,8693 51 081,05,2017,201705
955044,CD,8693 51 081,06,2017,201706
955044,CD,8693 51 081,07,2017,201707
955044,CD,8693 51 081,08,2017,201708
955044,CD,8693 51 081,09,2017,201709
955044,CD,8693 51 081,10,2017,201710
955044,CD,8693 51 081,11,2017,201711
955044,CD,8693 51 081,12,2017,201712
950916,KW,870751138,01,2017,201701
950916,KW,870751025,01,2017,201701
950916,KW,870751042,01,2017,201701
950916,KW,870751051,01,2017,201701
950916,KW,870751084,01,2017,201701
950916,KW,870751099,01,2017,201701
950916,KW,870751097,01,2017,201701
950916,KW,870751103,01,2017,201701
950916,KW,870751098,01,2017,201701
950916,KW,860351076,01,2017,201701
950916,KW,870151152,01,2017,201701
950916,KW,870151153,01,2017,201701
950916,KW,873051072,01,2017,201701
950916,KW,870751143,01,2017,201701
950916,KW,870751138,02,2017,201702
950916,KW,870751025,02,2017,201702
950916,KW,870751042,02,2017,201702
950916,KW,870751051,02,2017,201702
950916,KW,870751084,02,2017,201702
950916,KW,870751099,02,2017,201702
950916,KW,870751097,02,2017,201702
950916,KW,870751103,02,2017,201702
950916,KW,870751098,02,2017,201702
950916,KW,860351076,02,2017,201702
950916,KW,870151152,02,2017,201702
950916,KW,870151153,02,2017,201702
950916,KW,873051072,02,2017,201702
950916,KW,870751143,02,2017,201702
950916,KW,870751138,03,2017,201703
950916,KW,870751025,03,2017,201703
950916,KW,870751042,03,2017,201703
950916,KW,870751051,03,2017,201703
950916,KW,870751084,03,2017,201703
950916,KW,870751099,03,2017,201703
950916,KW,870751097,03,2017,201703
950916,KW,870751103,03,2017,201703
950916,KW,870751098,03,2017,201703
950916,KW,860351076,03,2017,201703
950916,KW,870151152,03,2017,201703
950916,KW,870151153,03,2017,201703
950916,KW,873051072,03,2017,201703
950916,KW,870751143,03,2017,201703
950916,KW,870751138,04,2017,201704
950916,KW,870751025,04,2017,201704
950916,KW,870751042,04,2017,201704
950916,KW,870751051,04,2017,201704
950916,KW,870751084,04,2017,201704
950916,KW,870751099,04,2017,201704
950916,KW,870751097,04,2017,201704
950916,KW,870751103,04,2017,201704
950916,KW,870751098,04,2017,201704
950916,KW,860351076,04,2017,201704
950916,KW,870151152,04,2017,201704
950916,KW,870151153,04,2017,201704
950916,KW,873051072,04,2017,201704
950916,KW,870751143,04,2017,201704
950916,KW,870751138,05,2017,201705
950916,KW,870751025,05,2017,201705
950916,KW,870751042,05,2017,201705
950916,KW,870751051,05,2017,201705
950916,KW,870751084,05,2017,201705
950916,KW,870751099,05,2017,201705
950916,KW,870751097,05,2017,201705
950916,KW,870751103,05,2017,201705
950916,KW,870751098,05,2017,201705
950916,KW,860351076,05,2017,201705
950916,KW,870151152,05,2017,201705
950916,KW,870151153,05,2017,201705
950916,KW,873051072,05,2017,201705
950916,KW,870751143,05,2017,201705
950916,KW,870751138,06,2017,201706
950916,KW,870751025,06,2017,201706
950916,KW,870751042,06,2017,201706
950916,KW,870751051,06,2017,201706
950916,KW,870751084,06,2017,201706
950916,KW,870751099,06,2017,201706
950916,KW,870751097,06,2017,201706
950916,KW,870751103,06,2017,201706
950916,KW,870751098,06,2017,201706
950916,KW,860351076,06,2017,201706
950916,KW,870151152,06,2017,201706
950916,KW,870151153,06,2017,201706
950916,KW,873051072,06,2017,201706
950916,KW,870751143,06,2017,201706
950916,KW,870751138,07,2017,201707
950916,KW,870751025,07,2017,201707
950916,KW,870751042,07,2017,201707
950916,KW,870751051,07,2017,201707
950916,KW,870751084,07,2017,201707
950916,KW,870751099,07,2017,201707
950916,KW,870751097,07,2017,201707
950916,KW,870751103,07,2017,201707
950916,KW,870751098,07,2017,201707
950916,KW,860351076,07,2017,201707
950916,KW,870151152,07,2017,201707
950916,KW,870151153,07,2017,201707
950916,KW,873051072,07,2017,201707
950916,KW,870751143,07,2017,201707
950916,KW,870751138,08,2017,201708
950916,KW,870751025,08,2017,201708
950916,KW,870751042,08,2017,201708
950916,KW,870751051,08,2017,201708
950916,KW,870751084,08,2017,201708
950916,KW,870751099,08,2017,201708
950916,KW,870751097,08,2017,201708
950916,KW,870751103,08,2017,201708
950916,KW,870751098,08,2017,201708
950916,KW,860351076,08,2017,201708
950916,KW,870151152,08,2017,201708
950916,KW,870151153,08,2017,201708
950916,KW,873051072,08,2017,201708
950916,KW,870751143,08,2017,201708
950916,KW,870751138,09,2017,201709
950916,KW,870751025,09,2017,201709
950916,KW,870751042,09,2017,201709
950916,KW,870751051,09,2017,201709
950916,KW,870751084,09,2017,201709
950916,KW,870751099,09,2017,201709
950916,KW,870751097,09,2017,201709
950916,KW,870751103,09,2017,201709
950916,KW,870751098,09,2017,201709
950916,KW,860351076,09,2017,201709
950916,KW,870151152,09,2017,201709
950916,KW,870151153,09,2017,201709
950916,KW,873051072,09,2017,201709
950916,KW,870751143,09,2017,201709
950916,KW,870751138,10,2017,201710
950916,KW,870751025,10,2017,201710
950916,KW,870751042,10,2017,201710
950916,KW,870751051,10,2017,201710
950916,KW,870751084,10,2017,201710
950916,KW,870751099,10,2017,201710
950916,KW,870751097,10,2017,201710
950916,KW,870751103,10,2017,201710
950916,KW,870751098,10,2017,201710
950916,KW,860351076,10,2017,201710
950916,KW,870151152,10,2017,201710
950916,KW,870151153,10,2017,201710
950916,KW,873051072,10,2017,201710
950916,KW,870751143,10,2017,201710
950916,KW,870751138,11,2017,201711
950916,KW,870751025,11,2017,201711
950916,KW,870751042,11,2017,201711
950916,KW,870751051,11,2017,201711
950916,KW,870751084,11,2017,201711
950916,KW,870751099,11,2017,201711
950916,KW,870751097,11,2017,201711
950916,KW,870751103,11,2017,201711
950916,KW,870751098,11,2017,201711
950916,KW,860351076,11,2017,201711
950916,KW,870151152,11,2017,201711
950916,KW,870151153,11,2017,201711
950916,KW,873051072,11,2017,201711
950916,KW,870751143,11,2017,201711
950916,KW,870151152,12,2017,201712
950916,KW,870151153,12,2017,201712
950916,KW,873051072,12,2017,201712
950916,KW,870751143,12,2017,201712
950916,KW,870751138,12,2017,201712
950916,KW,870751025,12,2017,201712
950916,KW,870751042,12,2017,201712
950916,KW,870751051,12,2017,201712
950916,KW,870751084,12,2017,201712
950916,KW,870751099,12,2017,201712
950916,KW,870751097,12,2017,201712
950916,KW,870751103,12,2017,201712
950916,KW,870751098,12,2017,201712
950916,KW,860351076,12,2017,201712
954126,SA,873051043,01,2017,201701
954126,SA,873751004,01,2017,201701
954126,SA,873051043,02,2017,201702
954126,SA,873751004,02,2017,201702
954126,SA,873051043,03,2017,201703
954126,SA,873751004,03,2017,201703
954126,SA,873051043,04,2017,201704
954126,SA,873751004,04,2017,201704
954126,SA,873051043,05,2017,201705
954126,SA,873751004,05,2017,201705
954126,SA,873051043,06,2017,201706
954126,SA,873751004,06,2017,201706
954126,SA,873051043,07,2017,201707
954126,SA,873751004,07,2017,201707
954126,SA,873051043,08,2017,201708
954126,SA,873751004,08,2017,201708
954126,SA,873051043,09,2017,201709
954126,SA,873751004,09,2017,201709
954126,SA,873051043,10,2017,201710
954126,SA,873751004,10,2017,201710
954126,SA,873051043,11,2017,201711
954126,SA,873751004,11,2017,201711
954126,SA,873051043,12,2017,201712
954126,SA,873751004,12,2017,201712
954515,NG,870151188,01,2017,201701
954515,NG,870151188,02,2017,201702
954515,NG,870151188,03,2017,201703
954515,NG,870151188,04,2017,201704
954515,NG,870151188,05,2017,201705
954515,NG,870151188,06,2017,201706
954515,NG,870151188,07,2017,201707
954515,NG,870151188,08,2017,201708
954515,NG,870151188,09,2017,201709
954515,NG,870151188,10,2017,201710
954515,NG,870151188,11,2017,201711
954515,NG,870151188,12,2017,201712
954515,NG,870151198,01,2017,201701
954515,NG,870151198,02,2017,201702
954515,NG,870151198,03,2017,201703
954515,NG,870151198,04,2017,201704
954515,NG,870151198,05,2017,201705
954515,NG,870151198,06,2017,201706
954515,NG,870151198,07,2017,201707
954515,NG,870151198,08,2017,201708
954515,NG,870151198,09,2017,201709
954515,NG,870151198,10,2017,201710
954515,NG,870151198,11,2017,201711
954515,NG,870151198,12,2017,201712
954255,TN,869351048,01,2017,201701
954255,TN,869351048,02,2017,201702
954255,TN,869351048,03,2017,201703
954255,TN,869351048,04,2017,201704
954255,TN,869351048,05,2017,201705
954255,TN,869351048,06,2017,201706
954255,TN,869351048,07,2017,201707
954255,TN,869351048,08,2017,201708
954255,TN,869351048,09,2017,201709
954255,TN,869351048,10,2017,201710
954255,TN,869351048,11,2017,201711
954255,TN,869351048,12,2017,201712
954855,ZA,869351061,01,2017,201701
954855,ZA,869351061,02,2017,201702
954855,ZA,869351061,03,2017,201703
954855,ZA,869351061,04,2017,201704
954855,ZA,869351061,05,2017,201705
954855,ZA,869351061,06,2017,201706
954855,ZA,869351061,07,2017,201707
954855,ZA,869351061,08,2017,201708
954855,ZA,869351061,09,2017,201709
954855,ZA,869351061,10,2017,201710
954855,ZA,869351061,11,2017,201711
954855,ZA,869351061,12,2017,201712
954874,EG,873051101,12,2017,201712
954874,EG,853251013,12,2017,201712
954874,EG,873051101,01,2017,201701
954874,EG,873051101,02,2017,201702
954874,EG,873051101,03,2017,201703
954874,EG,873051101,04,2017,201704
954874,EG,873051101,05,2017,201705
954874,EG,873051101,06,2017,201706
954874,EG,873051101,07,2017,201707
954874,EG,873051101,08,2017,201708
954874,EG,873051101,09,2017,201709
954874,EG,873051101,10,2017,201710
954874,EG,873051101,11,2017,201711
954874,EG,853251013,01,2017,201701
954874,EG,853251013,02,2017,201702
954874,EG,853251013,03,2017,201703
954874,EG,853251013,04,2017,201704
954874,EG,853251013,05,2017,201705
954874,EG,853251013,06,2017,201706
954874,EG,853251013,07,2017,201707
954874,EG,853251013,08,2017,201708
954874,EG,853251013,09,2017,201709
954874,EG,853251013,10,2017,201710
954874,EG,853251013,11,2017,201711
954436,ZA,869351046,01,2017,201701
954436,ZA,869351056,01,2017,201701
954436,ZA,869351046,02,2017,201702
954436,ZA,869351056,02,2017,201702
954436,ZA,869351046,03,2017,201703
954436,ZA,869351056,03,2017,201703
954436,ZA,869351046,04,2017,201704
954436,ZA,869351056,04,2017,201704
954436,ZA,869351046,05,2017,201705
954436,ZA,869351056,05,2017,201705
954436,ZA,869351046,06,2017,201706
954436,ZA,869351056,06,2017,201706
954436,ZA,869351046,07,2017,201707
954436,ZA,869351056,07,2017,201707
954436,ZA,869351046,08,2017,201708
954436,ZA,869351056,08,2017,201708
954436,ZA,869351046,09,2017,201709
954436,ZA,869351056,09,2017,201709
954436,ZA,869351046,10,2017,201710
954436,ZA,869351056,10,2017,201710
954436,ZA,869351046,11,2017,201711
954436,ZA,869351056,11,2017,201711
954436,ZA,869351046,12,2017,201712
954436,ZA,869351056,12,2017,201712
954436,ZA,869351089,09,2017,201709
954436,ZA,869351089,10,2017,201710
954436,ZA,869351089,11,2017,201711
954436,ZA,869351089,12,2017,201712
952760,OM,870151027,01,2017,201701
952760,OM,870151027,02,2017,201702
952760,OM,870151027,03,2017,201703
952760,OM,870151027,04,2017,201704
952760,OM,870151027,05,2017,201705
952760,OM,870151027,06,2017,201706
952760,OM,870151027,07,2017,201707
952760,OM,870151027,08,2017,201708
952760,OM,870151027,09,2017,201709
952760,OM,870151027,10,2017,201710
952760,OM,870151027,11,2017,201711
952760,OM,870151027,12,2017,201712
954930,IQ,873051117,01,2017,201701
954930,IQ,873051117,02,2017,201702
954930,IQ,873051117,03,2017,201703
954930,IQ,873051117,04,2017,201704
954930,IQ,873051117,05,2017,201705
954930,IQ,873051117,06,2017,201706
954930,IQ,873051117,07,2017,201707
954930,IQ,873051117,08,2017,201708
954930,IQ,873051117,09,2017,201709
954930,IQ,873051117,10,2017,201710
954930,IQ,873051117,11,2017,201711
954930,IQ,873051117,12,2017,201712
954930,IQ,871251014,08,2017,201708
954930,IQ,871251014,09,2017,201709
954930,IQ,871251014,10,2017,201710
